# Time_stamp_start,Duration,Year,month,day,hour,min,second,num_of_detec_st,FG3S,FG8S,FG10S,FG11S,FG12S,FG13S,FG14S,FG16S
1545987646,1240,2018,12,28,9,0,46,2,1,0,0,0,1,0,0,0
1545989723,1350,2018,12,28,9,35,23,4,1,1,0,0,1,1,0,0
1546012373,4873,2018,12,28,15,52,53,3,1,1,0,0,1,0,0,0
1546017816,837,2018,12,28,17,23,36,2,1,0,0,0,1,0,0,0
1546022763,2180,2018,12,28,18,46,3,2,1,0,0,0,1,0,0,0
1546027333,4190,2018,12,28,20,2,13,4,1,1,0,0,1,1,0,0
1546034113,1433,2018,12,28,21,55,13,3,1,1,0,0,1,0,0,0
1546036946,960,2018,12,28,22,42,26,2,1,0,0,0,1,0,0,0
1546040863,1160,2018,12,28,23,47,43,2,1,0,0,0,1,0,0,0
1546051475,4720,2018,12,29,2,44,35,5,1,1,1,0,1,1,0,0
1546066525,860,2018,12,29,6,55,25,2,1,0,0,0,1,0,0,0
1546071465,3660,2018,12,29,8,17,45,3,1,1,0,0,1,0,0,0
1546075945,2420,2018,12,29,9,32,25,3,1,1,0,0,1,0,0,0
1546083105,1020,2018,12,29,11,31,45,2,1,0,0,0,1,0,0,0
1546087443,840,2018,12,29,12,44,3,3,1,1,0,0,1,0,0,0
1546091685,4580,2018,12,29,13,54,45,2,1,0,0,0,1,0,0,0
1546104365,1770,2018,12,29,17,26,5,3,1,0,0,0,1,0,0,0
1546106605,1808,2018,12,29,18,3,25,5,1,1,0,0,1,0,0,0
1546110215,1610,2018,12,29,19,3,35,4,1,1,0,0,1,0,0,0
1546116556,2129,2018,12,29,20,49,16,4,1,1,1,0,1,0,0,0
1546121455,2980,2018,12,29,22,10,55,3,1,0,0,0,1,0,0,0
1546130243,890,2018,12,30,0,37,23,2,1,1,0,0,0,0,0,0
1546141185,3160,2018,12,30,3,39,45,2,1,0,0,0,1,0,0,0
1546150035,2698,2018,12,30,6,7,15,3,1,1,0,0,1,0,0,0
1546153275,1580,2018,12,30,7,1,15,4,1,1,1,0,1,0,0,0
1546160755,4330,2018,12,30,9,5,55,3,1,1,0,0,1,0,0,0
1546174675,7278,2018,12,30,12,57,55,4,1,1,0,0,1,0,0,0
1546199665,3900,2018,12,30,19,54,25,2,1,0,0,0,1,0,0,0
1546206385,1490,2018,12,30,21,46,25,2,1,0,0,0,1,0,0,0
1546211033,2282,2018,12,30,23,3,53,2,1,0,0,0,1,0,0,0
1546301963,1040,2019,1,1,0,19,23,3,1,1,0,0,1,0,0,0
1546320333,2030,2019,1,1,5,25,33,3,1,1,0,0,1,0,0,0
1546338473,770,2019,1,1,10,27,53,3,1,1,0,0,1,0,0,0
1546342493,1340,2019,1,1,11,34,53,3,1,0,0,0,1,0,0,0
1546350543,1280,2019,1,1,13,49,3,3,1,0,1,0,1,0,0,0
1546359223,1440,2019,1,1,16,13,43,2,1,0,0,0,1,0,0,0
1546367193,1470,2019,1,1,18,26,33,2,1,0,0,0,1,0,0,0
1546380243,700,2019,1,1,22,4,3,2,1,0,0,0,1,0,0,0
1546390743,1280,2019,1,2,0,59,3,2,1,0,0,0,1,0,0,0
1546392553,3770,2019,1,2,1,29,13,4,1,1,0,0,1,0,0,0
1546399933,1300,2019,1,2,3,32,13,3,1,1,0,0,1,0,0,0
1546407523,1300,2019,1,2,5,38,43,4,1,1,1,0,1,0,0,0
1546415073,2030,2019,1,2,7,44,33,3,1,0,0,0,1,0,0,0
1546425613,700,2019,1,2,10,40,13,3,1,1,0,0,1,0,0,0
1546426783,1520,2019,1,2,10,59,43,4,1,1,1,0,1,0,0,0
1546430123,660,2019,1,2,11,55,23,2,1,0,0,0,1,0,0,0
1546438693,2000,2019,1,2,14,18,13,4,1,1,0,0,1,1,0,0
1546443503,4290,2019,1,2,15,38,23,3,1,1,0,0,1,0,0,0
1546454613,2910,2019,1,2,18,43,33,2,1,0,0,0,1,0,0,0
1546461573,800,2019,1,2,20,39,33,2,1,0,0,0,1,0,0,0
1546463093,2120,2019,1,2,21,4,53,2,1,0,0,0,1,0,0,0
1546466673,1600,2019,1,2,22,4,33,2,1,0,0,0,1,0,0,0
1546471453,820,2019,1,2,23,24,13,3,1,1,0,0,1,0,0,0
1546473883,3320,2019,1,3,0,4,43,4,1,1,0,0,1,1,0,0
1546490663,2440,2019,1,3,4,44,23,2,1,0,0,0,1,0,0,0
1546493663,990,2019,1,3,5,34,23,2,1,0,0,0,1,0,0,0
1546498743,2690,2019,1,3,6,59,3,2,1,0,0,0,1,0,0,0
1546519663,1010,2019,1,3,12,47,43,2,1,0,0,0,1,0,0,0
1546524623,1810,2019,1,3,14,10,23,3,1,1,0,0,1,0,0,0
1546534043,1110,2019,1,3,16,47,23,2,1,0,0,0,1,0,0,0
1546538193,2180,2019,1,3,17,56,33,2,1,0,0,0,1,0,0,0
1546542643,740,2019,1,3,19,10,43,3,1,1,0,0,1,0,0,0
1546555853,770,2019,1,3,22,50,53,2,1,0,0,0,1,0,0,0
1546562743,3930,2019,1,4,0,45,43,3,1,1,0,0,1,0,0,0
1546574193,990,2019,1,4,3,56,33,2,1,0,0,0,1,0,0,0
1546576513,3220,2019,1,4,4,35,13,2,1,0,0,0,1,0,0,0
1546595783,1960,2019,1,4,9,56,23,2,1,0,0,0,1,0,0,0
1546609933,5290,2019,1,4,13,52,13,3,1,1,0,0,1,0,0,0
1546627503,9810,2019,1,4,18,45,3,3,1,1,0,0,1,0,0,0
1546643393,1420,2019,1,4,23,9,53,2,1,0,0,0,1,0,0,0
1546662523,1180,2019,1,5,4,28,43,2,1,0,0,0,1,0,0,0
1546669853,980,2019,1,5,6,30,53,2,1,0,0,0,1,0,0,0
1546675143,710,2019,1,5,7,59,3,2,1,0,0,0,1,0,0,0
1546676803,1090,2019,1,5,8,26,43,3,1,1,0,0,1,0,0,0
1546692463,1260,2019,1,5,12,47,43,3,1,1,0,0,1,0,0,0
1546712973,620,2019,1,5,18,29,33,2,1,0,0,0,1,0,0,0
1546718213,880,2019,1,5,19,56,53,3,1,1,0,0,1,0,0,0
1546723233,640,2019,1,5,21,20,33,3,1,1,0,0,1,0,0,0
1546724253,1870,2019,1,5,21,37,33,3,1,1,0,0,1,0,0,0
1546726993,620,2019,1,5,22,23,13,2,1,0,0,0,1,0,0,0
1546733083,4170,2019,1,6,0,4,43,2,1,0,0,0,1,0,0,0
1546739283,790,2019,1,6,1,48,3,2,1,1,0,0,0,0,0,0
1546741953,1440,2019,1,6,2,32,33,2,1,0,0,0,1,0,0,0
1546747983,1150,2019,1,6,4,13,3,2,1,0,0,0,1,0,0,0
1546749853,5690,2019,1,6,4,44,13,2,1,0,0,0,1,0,0,0
1546758003,2490,2019,1,6,7,0,3,2,1,0,0,0,1,0,0,0
1546763763,990,2019,1,6,8,36,3,2,1,0,0,0,1,0,0,0
1546766223,1590,2019,1,6,9,17,3,2,1,0,0,0,1,0,0,0
1546768223,7540,2019,1,6,9,50,23,4,1,1,0,0,1,1,0,0
1546777243,680,2019,1,6,12,20,43,3,1,1,0,0,1,0,0,0
1546779413,2690,2019,1,6,12,56,53,2,1,0,0,0,1,0,0,0
1546782473,760,2019,1,6,13,47,53,2,1,0,0,0,1,0,0,0
1546784513,1790,2019,1,6,14,21,53,3,1,1,0,0,1,0,0,0
1546787683,3190,2019,1,6,15,14,43,3,1,1,0,0,1,0,0,0
1546791963,4230,2019,1,6,16,26,3,2,1,0,0,0,1,0,0,0
